KO	gene	gene_name	EC_name	pathway	superpathway
K19735	mvfR	LysR family transcriptional regulator, quorum-sensing system regulator MvfR	NA	Quorum sensing	Cellular community - prokaryotes
K13061	rhlI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K18099	rhlR	LuxR family transcriptional regulator, quorum-sensing system regulator RhlR	NA	Quorum sensing	Cellular community - prokaryotes
K18100	rhlA	rhamnosyltransferase subunit A	EC:2.4.1.-	Quorum sensing	Cellular community - prokaryotes
K18101	rhlB	rhamnosyltransferase subunit B	EC:2.4.1.-	Quorum sensing	Cellular community - prokaryotes
K12990	rfbF	rhamnosyltransferase	EC:2.4.1.-	Quorum sensing	Cellular community - prokaryotes
K08642	lasA	LasA protease	EC:3.4.24.-	Quorum sensing	Cellular community - prokaryotes
K01399	lasB	pseudolysin	EC:3.4.24.26	Quorum sensing	Cellular community - prokaryotes
K20260	phzA_B	phenazine biosynthesis protein	NA	Quorum sensing	Cellular community - prokaryotes
K01626	E2.5.1.54	3-deoxy-7-phosphoheptulonate synthase	EC:2.5.1.54	Quorum sensing	Cellular community - prokaryotes
K20261	phzD	trans-2,3-dihydro-3-hydroxyanthranilic acid synthase	EC:3.3.2.15	Quorum sensing	Cellular community - prokaryotes
K13063	phzE	2-amino-4-deoxychorismate synthase	EC:2.6.1.86	Quorum sensing	Cellular community - prokaryotes
K06998	phzF	trans-2,3-dihydro-3-hydroxyanthranilate isomerase	EC:5.3.3.17	Quorum sensing	Cellular community - prokaryotes
K20262	phzG	dihydrophenazinedicarboxylate synthase	EC:1.10.3.16	Quorum sensing	Cellular community - prokaryotes
K07645	qseC	two-component system, OmpR family, sensor histidine kinase QseC	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K07666	qseB	two-component system, OmpR family, response regulator QseB	NA	Quorum sensing	Cellular community - prokaryotes
K07711	glrK	two-component system, NtrC family, sensor histidine kinase GlrK	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K07715	glrR	two-component system, NtrC family, response regulator GlrR	NA	Quorum sensing	Cellular community - prokaryotes
K02403	flhD	flagellar transcriptional activator FlhD	NA	Quorum sensing	Cellular community - prokaryotes
K02402	flhC	flagellar transcriptional activator FlhC	NA	Quorum sensing	Cellular community - prokaryotes
K12789	tccP	Tir-cytoskeleton coupling protein	NA	Quorum sensing	Cellular community - prokaryotes
K07667	kdpE	two-component system, OmpR family, KDP operon response regulator KdpE	NA	Quorum sensing	Cellular community - prokaryotes
K20263	fusK	two-component system, NarL family, sensor histidine kinase FusK	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K20264	fusR	two-component system, NarL family, response regulator FusR	NA	Quorum sensing	Cellular community - prokaryotes
K20552	ler	transcriptional regulator of LEE operons	NA	Quorum sensing	Cellular community - prokaryotes
K07782	sdiA	LuxR family transcriptional regulator, quorum-sensing system regulator SdiA	NA	Quorum sensing	Cellular community - prokaryotes
K01580	E4.1.1.15	glutamate decarboxylase	EC:4.1.1.15	Quorum sensing	Cellular community - prokaryotes
K20265	gadC	glutamate:GABA antiporter	NA	Quorum sensing	Cellular community - prokaryotes
K10555	lsrB	AI-2 transport system substrate-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K10556	lsrC	AI-2 transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K10557	lsrD	AI-2 transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K10558	lsrA	AI-2 transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K11216	lsrK	autoinducer-2 kinase	EC:2.7.1.189	Quorum sensing	Cellular community - prokaryotes
K11531	lsrR	lsr operon transcriptional repressor	NA	Quorum sensing	Cellular community - prokaryotes
K08321	lsrF	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase	EC:2.3.1.245	Quorum sensing	Cellular community - prokaryotes
K11530	lsrG	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase	EC:5.3.1.32	Quorum sensing	Cellular community - prokaryotes
K18096	bjaI	acyl-homoserine lactone synthase	EC:2.3.1.228 2.3.1.229 2.3.1.-	Quorum sensing	Cellular community - prokaryotes
K18098	bjaR1	LuxR family transcriptional regulator, quorum-sensing system regulator BjaR1	NA	Quorum sensing	Cellular community - prokaryotes
K20248	cinI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K20252	cinR	LuxR family transcriptional regulator, quorum-sensing system regulator CinR	NA	Quorum sensing	Cellular community - prokaryotes
K20253	bisR	LuxR family transcriptional regulator, quorum-sensing system regulator BisR	NA	Quorum sensing	Cellular community - prokaryotes
K22955	traI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K19732	traR	LuxR family transcriptional regulator, activator of conjugal transfer of Ti plasmids	NA	Quorum sensing	Cellular community - prokaryotes
K20527	trbB	type IV secretion system protein TrbB	EC:7.4.2.8	Quorum sensing	Cellular community - prokaryotes
K20528	trbC	type IV secretion system protein TrbC	NA	Quorum sensing	Cellular community - prokaryotes
K20529	trbD	type IV secretion system protein TrbD	NA	Quorum sensing	Cellular community - prokaryotes
K20530	trbE	type IV secretion system protein TrbE	EC:7.4.2.8	Quorum sensing	Cellular community - prokaryotes
K20266	trbJ	type IV secretion system protein TrbJ	NA	Quorum sensing	Cellular community - prokaryotes
K07344	trbL	type IV secretion system protein TrbL	NA	Quorum sensing	Cellular community - prokaryotes
K20531	trbF	type IV secretion system protein TrbF	NA	Quorum sensing	Cellular community - prokaryotes
K20532	trbG	type IV secretion system protein TrbG	NA	Quorum sensing	Cellular community - prokaryotes
K20267	trbH	type IV secretion system protein TrbH	NA	Quorum sensing	Cellular community - prokaryotes
K20533	trbI	type IV secretion system protein TrbI	NA	Quorum sensing	Cellular community - prokaryotes
K20249	raiI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K19733	sinR	LuxR family transcriptional regulator, quorum-sensing system regulator SinR	NA	Quorum sensing	Cellular community - prokaryotes
K20268	rhiA	rhizosphere induced protein	NA	Quorum sensing	Cellular community - prokaryotes
K20269	rhiB	rhizosphere induced protein	NA	Quorum sensing	Cellular community - prokaryotes
K20271	accR	DeoR family transcriptional regulator, repressor of opine catabolism and conjugal transfer	NA	Quorum sensing	Cellular community - prokaryotes
K02055	ABC.SP.S	putative spermidine/putrescine transport system substrate-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K02053	ABC.SP.P	putative spermidine/putrescine transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K02054	ABC.SP.P1	putative spermidine/putrescine transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K02052	ABC.SP.A	putative spermidine/putrescine transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K01999	livK	branched-chain amino acid transport system substrate-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K01997	livH	branched-chain amino acid transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K01998	livM	branched-chain amino acid transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K01995	livG	branched-chain amino acid transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K01996	livF	branched-chain amino acid transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K20539	blcR	IclR family transcriptional regulator, blcABC operon repressor	NA	Quorum sensing	Cellular community - prokaryotes
K13075	ahlD	N-acyl homoserine lactone hydrolase	EC:3.1.1.81	Quorum sensing	Cellular community - prokaryotes
K22956	expI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K19734	expR	LuxR family transcriptional regulator, quorum-sensing system regulator ExpR	NA	Quorum sensing	Cellular community - prokaryotes
K18316	cpmA	carbapenam-3-carboxylate synthase	EC:6.3.3.6	Quorum sensing	Cellular community - prokaryotes
K18317	cpmB	carboxymethylproline synthase	EC:2.3.1.226	Quorum sensing	Cellular community - prokaryotes
K18315	cpmC	(5R)-carbapenem-3-carboxylate synthase	EC:1.14.20.3	Quorum sensing	Cellular community - prokaryotes
K18318	cpmD	carbapenem biosynthesis protein, putative proline dehydrogenase	EC:1.5.-.-	Quorum sensing	Cellular community - prokaryotes
K18319	cpmE	carbapenem biosynthesis protein CpmE	NA	Quorum sensing	Cellular community - prokaryotes
K01728	pel	pectate lyase	EC:4.2.2.2	Quorum sensing	Cellular community - prokaryotes
K07781	rcsA	LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor	NA	Quorum sensing	Cellular community - prokaryotes
K19666	solR	LuxR family transcriptional regulator, quorum-sensing system regulator SolR	NA	Quorum sensing	Cellular community - prokaryotes
K20250	cciI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K19731	cciR	LuxR family transcriptional regulator, quorum-sensing system regulator CciR	NA	Quorum sensing	Cellular community - prokaryotes
K20540	cepR2	LuxR family transcriptional regulator, quorum-sensing system regulator CepR2	NA	Quorum sensing	Cellular community - prokaryotes
K13816	rpfF	DSF synthase	NA	Quorum sensing	Cellular community - prokaryotes
K14051	gmr	c-di-GMP phosphodiesterase Gmr	EC:3.1.4.52	Quorum sensing	Cellular community - prokaryotes
K20273	zmpA	zinc metalloprotease ZmpA	NA	Quorum sensing	Cellular community - prokaryotes
K20274	zmpB	zinc metalloprotease ZmpB	NA	Quorum sensing	Cellular community - prokaryotes
K20276	bapA	large repetitive protein	NA	Quorum sensing	Cellular community - prokaryotes
K20277	bcl	mannose-binding lectin	NA	Quorum sensing	Cellular community - prokaryotes
K01897	ACSL	long-chain acyl-CoA synthetase	EC:6.2.1.3	Quorum sensing	Cellular community - prokaryotes
K10715	rpfC	two-component system, sensor histidine kinase RpfC	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K13815	rpfG	two-component system, response regulator RpfG	NA	Quorum sensing	Cellular community - prokaryotes
K10914	crp	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	NA	Quorum sensing	Cellular community - prokaryotes
K09823	zur	Fur family transcriptional regulator, zinc uptake regulator	NA	Quorum sensing	Cellular community - prokaryotes
K20325	fhrR	TetR/AcrR family transcriptional regulator, Clp-modulated transcription factor	NA	Quorum sensing	Cellular community - prokaryotes
K20326	xagA	protein XagA	NA	Quorum sensing	Cellular community - prokaryotes
K20327	xagB	glycosyltransferase XagB	NA	Quorum sensing	Cellular community - prokaryotes
K01218	gmuG	mannan endo-1,4-beta-mannosidase	EC:3.2.1.78	Quorum sensing	Cellular community - prokaryotes
K20329	qsmR	IclR family transcriptional regulator, positive regulator for flagellar biogenesis	NA	Quorum sensing	Cellular community - prokaryotes
K20330	toxJ	LuxR family transcriptional regulator, activator of tox operons	NA	Quorum sensing	Cellular community - prokaryotes
K20331	toxA	toxoflavin synthase	EC:2.1.1.349	Quorum sensing	Cellular community - prokaryotes
K01497	ribA	GTP cyclohydrolase II	EC:3.5.4.25	Quorum sensing	Cellular community - prokaryotes
K20332	toxC	toxoflavin biosynthesis protein ToxC	NA	Quorum sensing	Cellular community - prokaryotes
K20333	toxD	toxoflavin biosynthesis protein ToxD	NA	Quorum sensing	Cellular community - prokaryotes
K11752	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	EC:3.5.4.26 1.1.1.193	Quorum sensing	Cellular community - prokaryotes
K09936	TC.BAT2	bacterial/archaeal transporter family-2 protein	NA	Quorum sensing	Cellular community - prokaryotes
K18306	mexH	membrane fusion protein, multidrug efflux system	NA	Quorum sensing	Cellular community - prokaryotes
K18307	mexI	multidrug efflux pump	NA	Quorum sensing	Cellular community - prokaryotes
K18139	oprM	outer membrane protein, multidrug efflux system	NA	Quorum sensing	Cellular community - prokaryotes
K22957	cviI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K20334	cviR	LuxR family transcriptional regulator, quorum-sensing system regulator CviR	NA	Quorum sensing	Cellular community - prokaryotes
K20086	vioA	tryptophan oxidase VioA	EC:1.4.3.-	Quorum sensing	Cellular community - prokaryotes
K20090	vioC	violacein synthase	EC:1.14.13.224	Quorum sensing	Cellular community - prokaryotes
K20089	vioD	protodeoxyviolaceinate monooxygenase	EC:1.14.13.217	Quorum sensing	Cellular community - prokaryotes
K22968	sinI	acyl homoserine lactone synthase	EC:2.3.1.184	Quorum sensing	Cellular community - prokaryotes
K07800	agrD	AgrD protein	NA	Quorum sensing	Cellular community - prokaryotes
K07813	agrB	accessory gene regulator B	NA	Quorum sensing	Cellular community - prokaryotes
K07706	agrC	two-component system, LytTR family, sensor histidine kinase AgrC	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K07707	agrA	two-component system, LytTR family, response regulator AgrA	NA	Quorum sensing	Cellular community - prokaryotes
K20337	psmB	phenol-soluble modulin beta	NA	Quorum sensing	Cellular community - prokaryotes
K20338	rot	MarR family transcriptional regulator, global regulator for virulence	NA	Quorum sensing	Cellular community - prokaryotes
K20339	agrC2	two-component system, LytTR family, sensor histidine kinase AgrC2	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K20340	agrA2	two-component system, LytTR family, response regulator AgrA2	NA	Quorum sensing	Cellular community - prokaryotes
K11063	tcdAB	toxin A/B	NA	Quorum sensing	Cellular community - prokaryotes
K16619	plc	phospholipase C / alpha-toxin	EC:3.1.4.3	Quorum sensing	Cellular community - prokaryotes
K11031	slo	thiol-activated cytolysin	NA	Quorum sensing	Cellular community - prokaryotes
K12415	comC	competence-stimulating peptide	NA	Quorum sensing	Cellular community - prokaryotes
K12292	comA	ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein	EC:3.4.22.-	Quorum sensing	Cellular community - prokaryotes
K12293	comB	competence factor transport accessory protein ComB	NA	Quorum sensing	Cellular community - prokaryotes
K12294	comD	two-component system, LytTR family, sensor histidine kinase ComD	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K12295	comE	two-component system, LytTR family, response regulator ComE	NA	Quorum sensing	Cellular community - prokaryotes
K20324	nlmD	mutacin VI	NA	Quorum sensing	Cellular community - prokaryotes
K14982	ciaH	two-component system, OmpR family, sensor histidine kinase CiaH	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K14983	ciaR	two-component system, OmpR family, response regulator CiaR	NA	Quorum sensing	Cellular community - prokaryotes
K15580	oppA	oligopeptide transport system substrate-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K15581	oppB	oligopeptide transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K15582	oppC	oligopeptide transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K15583	oppD	oligopeptide transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K10823	oppF	oligopeptide transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K20342	comR	HTH-type transcriptional regulator, regulator for ComX	NA	Quorum sensing	Cellular community - prokaryotes
K12296	comX1_2	competence protein ComX	NA	Quorum sensing	Cellular community - prokaryotes
K20344	blpA	ATP-binding cassette, subfamily C, bacteriocin exporter	NA	Quorum sensing	Cellular community - prokaryotes
K20345	blpB	membrane fusion protein, peptide pheromone/bacteriocin exporter	NA	Quorum sensing	Cellular community - prokaryotes
K20373	rgg2	HTH-type transcriptional regulator, SHP2-responsive activator	NA	Quorum sensing	Cellular community - prokaryotes
K20374	rgg3	HTH-type transcriptional regulator, SHP3-responsive repressor	NA	Quorum sensing	Cellular community - prokaryotes
K02035	ABC.PE.S	peptide/nickel transport system substrate-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K02033	ABC.PE.P	peptide/nickel transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K02034	ABC.PE.P1	peptide/nickel transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K02031	ABC.PE.A	peptide/nickel transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K02032	ABC.PE.A1	peptide/nickel transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K20375	ropB	HTH-type transcriptional regulator, pheromone-responsive regulator	NA	Quorum sensing	Cellular community - prokaryotes
K01364	speB	streptopain	EC:3.4.22.10	Quorum sensing	Cellular community - prokaryotes
K01635	lacD	tagatose 1,6-diphosphate aldolase	EC:4.1.2.40	Quorum sensing	Cellular community - prokaryotes
K03217	yidC	YidC/Oxa1 family membrane protein insertase	NA	Quorum sensing	Cellular community - prokaryotes
K20377	prgX	HTH-type transcriptional regulator, major conjugation operon repressor	NA	Quorum sensing	Cellular community - prokaryotes
K20379	cad	sex pheromone cAD1	NA	Quorum sensing	Cellular community - prokaryotes
K20380	traA	HTH-type transcriptional regulator, pheromone-responsive repressor	NA	Quorum sensing	Cellular community - prokaryotes
K20381	traE1	regulatory protein	NA	Quorum sensing	Cellular community - prokaryotes
K20382	asa1	aggregation substance	NA	Quorum sensing	Cellular community - prokaryotes
K08605	gelE	coccolysin	EC:3.4.24.30	Quorum sensing	Cellular community - prokaryotes
K01318	sspA	glutamyl endopeptidase	EC:3.4.21.19	Quorum sensing	Cellular community - prokaryotes
K20383	cylLL	CylL-L protein	NA	Quorum sensing	Cellular community - prokaryotes
K20384	cylLS	CylL-S protein	NA	Quorum sensing	Cellular community - prokaryotes
K20385	cylM	CylM protein	NA	Quorum sensing	Cellular community - prokaryotes
K20386	cylB	ATP-binding cassette, subfamily B, bacterial CylB	NA	Quorum sensing	Cellular community - prokaryotes
K14645	K14645	serine protease	EC:3.4.21.-	Quorum sensing	Cellular community - prokaryotes
K20388	cylR2	HTH-type transcriptional regulator, cytolysin regulator	NA	Quorum sensing	Cellular community - prokaryotes
K02253	comX	competence protein ComX	NA	Quorum sensing	Cellular community - prokaryotes
K02251	comQ	competence protein ComQ	NA	Quorum sensing	Cellular community - prokaryotes
K07680	comP	two-component system, NarL family, sensor histidine kinase ComP	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K07691	comA	two-component system, NarL family, competent response regulator ComA	NA	Quorum sensing	Cellular community - prokaryotes
K02250	comK	competence protein ComK	NA	Quorum sensing	Cellular community - prokaryotes
K15654	srfAA	surfactin family lipopeptide synthetase A	NA	Quorum sensing	Cellular community - prokaryotes
K15655	srfAB	surfactin family lipopeptide synthetase B	NA	Quorum sensing	Cellular community - prokaryotes
K15656	srfAC	surfactin family lipopeptide synthetase C	NA	Quorum sensing	Cellular community - prokaryotes
K15657	srfATE	external thioesterase TEII	NA	Quorum sensing	Cellular community - prokaryotes
K06358	phrK	phosphatase RapK regulator	NA	Quorum sensing	Cellular community - prokaryotes
K06356	phrG	phosphatase RapG regulator	NA	Quorum sensing	Cellular community - prokaryotes
K06354	phrE	phosphatase RapE regulator	NA	Quorum sensing	Cellular community - prokaryotes
K12257	secDF	SecD/SecF fusion protein	NA	Quorum sensing	Cellular community - prokaryotes
K03073	secE	preprotein translocase subunit SecE	NA	Quorum sensing	Cellular community - prokaryotes
K03075	secG	preprotein translocase subunit SecG	NA	Quorum sensing	Cellular community - prokaryotes
K03076	secY	preprotein translocase subunit SecY	NA	Quorum sensing	Cellular community - prokaryotes
K03210	yajC	preprotein translocase subunit YajC	NA	Quorum sensing	Cellular community - prokaryotes
K03070	secA	preprotein translocase subunit SecA	EC:7.4.2.8	Quorum sensing	Cellular community - prokaryotes
K03110	ftsY	fused signal recognition particle receptor	NA	Quorum sensing	Cellular community - prokaryotes
K03071	secB	preprotein translocase subunit SecB	NA	Quorum sensing	Cellular community - prokaryotes
K03106	SRP54	signal recognition particle subunit SRP54	EC:3.6.5.4	Quorum sensing	Cellular community - prokaryotes
K06361	rapC	response regulator aspartate phosphatase C	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06364	rapF	response regulator aspartate phosphatase F	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06369	rapK	response regulator aspartate phosphatase K	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06365	rapG	response regulator aspartate phosphatase G	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06366	rapH	response regulator aspartate phosphatase H	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06359	rapA	response regulator aspartate phosphatase A (stage 0 sporulation protein L)	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06363	rapE	response regulator aspartate phosphatase E	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K06360	rapB	response regulator aspartate phosphatase B	EC:3.1.-.-	Quorum sensing	Cellular community - prokaryotes
K07692	degU	two-component system, NarL family, response regulator DegU	NA	Quorum sensing	Cellular community - prokaryotes
K02490	spo0F	two-component system, response regulator, stage 0 sporulation protein F	NA	Quorum sensing	Cellular community - prokaryotes
K06375	spo0B	stage 0 sporulation protein B (sporulation initiation phosphotransferase)	EC:2.7.-.-	Quorum sensing	Cellular community - prokaryotes
K07699	spo0A	two-component system, response regulator, stage 0 sporulation protein A	NA	Quorum sensing	Cellular community - prokaryotes
K20390	papR	regulatory peptide PapR	NA	Quorum sensing	Cellular community - prokaryotes
K08777	nprB	neutral peptidase B	EC:3.4.24.-	Quorum sensing	Cellular community - prokaryotes
K20391	plcR	HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes	NA	Quorum sensing	Cellular community - prokaryotes
K01114	plc	phospholipase C	EC:3.1.4.3	Quorum sensing	Cellular community - prokaryotes
K11035	hblAB	hemolysin BL binding component	NA	Quorum sensing	Cellular community - prokaryotes
K11036	hblC	hemolysin BL lytic component L2	NA	Quorum sensing	Cellular community - prokaryotes
K11037	hblD	hemolysin BL lytic component L1	NA	Quorum sensing	Cellular community - prokaryotes
K11033	nheA	non-hemolytic enterotoxin A	NA	Quorum sensing	Cellular community - prokaryotes
K11034	nheBC	non-hemolytic enterotoxin B/C	NA	Quorum sensing	Cellular community - prokaryotes
K20480	nprR	HTH-type transcriptional regulator, quorum sensing regulator NprR	NA	Quorum sensing	Cellular community - prokaryotes
K20481	nprX	regulatory peptide NprX	NA	Quorum sensing	Cellular community - prokaryotes
K20482	nisA	lantibiotic bacteriocin	NA	Quorum sensing	Cellular community - prokaryotes
K20483	nisB	lantibiotic biosynthesis protein	NA	Quorum sensing	Cellular community - prokaryotes
K20484	nisC	lantibiotic biosynthesis protein	NA	Quorum sensing	Cellular community - prokaryotes
K20485	nisT	ATP-binding cassette, subfamily B, bacterial NisT	NA	Quorum sensing	Cellular community - prokaryotes
K20486	nisP	lantibiotic leader peptide-processing serine protease	EC:3.4.21.-	Quorum sensing	Cellular community - prokaryotes
K20487	nisK	two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK	EC:2.7.13.3	Quorum sensing	Cellular community - prokaryotes
K20488	nisR	two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR	NA	Quorum sensing	Cellular community - prokaryotes
K20489	nisI	lantibiotic immunity protein	NA	Quorum sensing	Cellular community - prokaryotes
K20490	nisF	lantibiotic transport system ATP-binding protein	NA	Quorum sensing	Cellular community - prokaryotes
K20491	nisE	lantibiotic transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K20492	nisG	lantibiotic transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K20494	epiG	lantibiotic transport system permease protein	NA	Quorum sensing	Cellular community - prokaryotes
K07173	luxS	S-ribosylhomocysteine lyase	EC:4.4.1.21	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10909	luxQ	two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ	EC:2.7.13.3 3.1.3.-	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10910	luxP	autoinducer 2-binding periplasmic protein LuxP	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10915	cqsA	CAI-1 autoinducer synthase	EC:2.3.-.-	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10916	cqsS	two-component system, CAI-1 autoinducer sensor kinase/phosphatase CqsS	EC:2.7.13.3 3.1.3.-	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10911	luxU	two-component system, phosphorelay protein LuxU	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10912	luxO	two-component system, repressor protein LuxO	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K03666	hfq	host factor-I protein	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10917	aphA	PadR family transcriptional regulator, regulatory protein AphA	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K10918	aphB	LysR family transcriptional regulator, transcriptional activator AphB	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20918	vpsT	LuxR family transcriptional regulator, positive regulator of biofilm formation	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20919	vpsR	sigma-54 dependent transcriptional regulator, positive regulator of biofilm formation	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20945	vpsU	tyrosine-protein phosphatase	EC:3.1.3.48	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K01791	wecB	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)	EC:5.1.3.14	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K02472	wecC	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	EC:1.1.1.336	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K00640	cysE	serine O-acetyltransferase	EC:2.3.1.30	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20921	vpsD	polysaccharide biosynthesis protein VpsD	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20946	vpsE	polysaccharide biosynthesis protein VpsE	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20947	vpsF	polysaccharide biosynthesis protein VpsF	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K01912	paaK	phenylacetate-CoA ligase	EC:6.2.1.30	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20922	vpsI	polysaccharide biosynthesis protein VpsI	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20948	vpsJ	polysaccharide biosynthesis protein VpsJ	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K05946	tagA	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	EC:2.4.1.187	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K03606	wcaJ	putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20920	vpsM	polysaccharide biosynthesis protein VpsM	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20988	vpsN	polysaccharide biosynthesis/export protein VpsN	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K16554	exoP	polysaccharide biosynthesis transport protein	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20949	vpsP	polysaccharide biosynthesis protein VpsP	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K20950	vpsQ	polysaccharide biosynthesis protein VpsQ	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K02452	gspC	general secretion pathway protein C	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K02453	gspD	general secretion pathway protein D	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K02454	gspE	general secretion pathway protein E	EC:7.4.2.8	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
K02455	gspF	general secretion pathway protein F	NA	Biofilm formation - Vibrio cholerae	Cellular community - prokaryotes
